,,,Race & ethnicity,,Nationality,,,,,Occupation,,,,,,Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,NMkqJ,A person who just wants a better life and moves to a new country to pursue that.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,9OoB2,"A person who stays past their visa's expiration date, most likely. I was skeptical to characterize broadly illegal immigrants in any capacity. Perhaps I should have marked higher in the ""unlawful"" category since they are breaking a civil statue by definition of being ""illegal"".",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T3,tT5te,"A typical illegal immigrant is somebody who clearly has a strong desire to be in this country and therefore I believe is willing to work quite hard to be here. On average I think most illegal immigrants come here with a high school degree or less because its so hard to immigrate here legally with those credentials. Finally I don't think illegal immigrants fall into any those negative categories like being immoral, unlawful, or violent more than the average American.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T1,ELqiM,"A typical immigrant is hard working and is resilient. They want the best for themselves and their family. They would do anything to ensure the safety and well being of the people they love. Often they dont have a choice but to make it to the US or wherever their destination may be. And although it's a huge risk, its often one many of them are willing to take.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T2,mNyVy,"A typical undocumented immigrant come to the Unitd States for a better life and for the money so they can provide food and shelter for their family. Therefore, the are hardworking and work all day all night trying to earn money even though they get paid a little bit.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,bkQe2,"All I have to say is, if there was a more reasonable way for them to become US citizens, they wouldn't be undocumented and have this negative stigma attached to them.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T3,h3gZJ,"All illegal immigrants have committed a crime against the United States. While many are hardworking and good people that could strengthen this country, the mere fact that they are undocumented makes it impossible to legally pay taxes or have any kind of license.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T3,nLaYY,"Although I havent had much experience with illegal immigrants nor do I know a lot about this topic, but the few individuals I do know, work extremely hard and do their part to support themselves and their family financially and end up doing jobs many Americans do not want to do. They also work extremely hard to get their visas and try their hardest to become legal, but that sometimes get extremely costly and nerve-racking.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
T3,qteOA,"Although they can be hardworking and have morals, they still came into our country illegally.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,Wau7V,amazing people that the system has failed by not providing a path to citizenship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T4,exkju,Amazing people! Literally just wanting a place to live. Fr tho white poeple fromt he mayflower and like 1600's have done worse and they illegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
T4,KNf24,an impoverished person looking for a better life path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,HKCkb,An individual that resides in a country illegally,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,SfoxP,An undocument immigrant is usually an economic refugee or political refugee who can't live or come back to their home country because there is no work or some violence is happening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T2,YVARD,An undocumented immigrant is someone that came to the United States illegally either through border crossing or overstaying a legal visa. They usually do so because they see the United States as better than their home country.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,28Zyi,"An undocumented immigrant is very hardworking and tries their best to be loyal to the new country that they're in. People tend to misconstrue them as bad people and criminals because the media frames them in a negative way. In reality, undocumented immigrants are not always criminals and actually make up most of the lard labor source in our country.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T1,j1H14,Anyone who comes into a country illegally.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,f4NRy,"Coming from a family of illegal immigrants, I have a favorable view of them and know they work very hard just to have better opportunities.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
T2,3R74w,"Considering documented immigrants and citizens hold the same descriptions for undocumented immigrants, this is sort of biased. We are all humans and we are all capable of violence and being educated at the same time. Has nothing to do with being documented or undocumented. Though undocumented immigrants bring their children here to achieve the best education they can get.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T5,Hc7ab,"Despite what the media wants us to believe, the typical illegal immigrant isn't a criminal that tries to avoid paying taxes for the country. In fact, the typical immigrant is just trying to stay under the radar and is usually trying to provide for their families.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,rdpML,"Economic or political refugees; people seeking work, greater opportunity, and a better life. Often escaping repression or violence. Many attempting to better support families back home and as a result are often very hardworking and driven.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T3,P1Tjg,either someone from Mexico or Canada who crossed the border illegally or someone who stayed past the expiration of their visa without renewal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,gVAWQ,"Even though they have devoted themselves to the construction, development or other basic functions of the U.S. society, they are illegal. If they can violates the law to enter the US, they may also immoral in some ways.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T1,M7YCH,"First of all, it is much more respectful to refer to immigrants without documentation as undocumented immigrants rather than illegal immigrants. While the previous questions required the assumption of a large group of people as a whole, when thinking about immigrants,I think of them as normal citizens, and I believe that most citizens in the United States are good, hardworking people.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
T5,6QSHh,"First off, for a political science experiment, you would think that the host of this survey would be politically correct in referring to UNDOCUMENTED immigrants. With that, I view all undocumented immigrants as humans, humans who felt that there are no opportunities in their home countries and have decided to search for work in US. Undocumented immigrants understand that they are not respected in this country, yet, set all of that aside so that they can work for the rest of their lives but know that this is for their family. Undocumented immigrants are hard working and the majority of them, come to the US to search for a better life, which is what the US is suppose to be, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
T3,TIYRW,"First, I would not define them as illegal but rather undocumented. Second, I view them simply as individuals seeking better lives for themselves and their families. They are brave, hardworking and honest.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
T1,kvFNc,"Firstly, I think that no one is illegal on stolen land. People may be undocumented citizens, but I do not believe they are ""illegal."" I think they are harworking and honest people who are just trying to make a better lives for themselves and/or their families. I think we should legalize all undocumented immigrants and make the immigration process easier.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
T2,s1CeH,"For me it's hard to say and I think it comes down to a case by case basis. I think there is a good number of bad immigrants who add nothing to society, are sometimes criminals, and overall bring nothing to society. However, I I know that most of these people are just trying to start fresh and have a better life than the one they came from. But my problem is that if you're innocent why not just come into the country the legal way.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
T2,Ihb92,"From my experience, most undocumented immigrants are from Mexico. Most of these people came to America to seek a better life for themselves and their families. My mother is an immigrant from the Philippines who was hoping for the same thing. She entered legally and is now a naturalized citizen, but I know the process to immigrate into the United States is extremely tough and is simply not an option for everyone. My aunt applied for a green card and it was not granted for 12 years, by which point she had almost forgotten that she had applied. I think immigrants are just people who want the best for their families, and that makes them no different than any natural-born citizen. Even if they entered illegally, they are no different because no human being is illegal.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
T6,1uuqi,From my point of view undocumented immigrants are people looking for a second chance or looking for a place where they can be able to find refuge. Part of the reason being that the people are ones that like anyone else want to improve their lives and more they want to help their families.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T4,nbSrv,Hard workers who take jobs that no white American ever would,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,AbOPF,hard working and with a dream,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
T6,lczXn,Hard working people who came here for a better future,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,sRrRM,hard working seeking for a better life,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,55EtO,"Hard working, typically from an impoverished area and is desperate for a better situation",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,ns823,"Hard working, willing to sacrifice for family and survival- heroes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,HGp4p,hardworking,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,ry3j9,Hardworking and attempting to create a better life for themselves,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,8wQnr,Hardworking in pursuit of a better life,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,WX2UA,Hardworking people but have broken the law,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,V0lMx,"hardworking people that are simply trying to provide them and their families with better lives, they are trying to work towards a stable opportunity",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,mGlZM,"Hardworking people who should be incorporated into society. However, as difficult as it sounds, I do believe they should be deported if a violent crime or even perhaps a felony is committed.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,bDe0S,"Hardworking, believes in American dream, wants to create a ""better live"" for themselves and family",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
T3,Av351,"hardworking, timely, efficient, cooks, lawn management. while the majority of illegal immigrants are hardworking and working towards a visa or citizenship, the vast majority of people generalize all illegal immigrants by the few that commit crimes",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T6,CAJFE,"Hardworking, trying their best",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,ymVYT,Has absolutely no respect for the rule of law and other immigrants who are seeking to apply to the United States under lawful processes such as immigrants coming from Asia who have been in the lottery process for over years and maybe decades. So it is not fair for those who also hopes for a better life at the United states and would love to obtain the opportunity to pursue their dreams and achieve the american dream they have heard about,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
T1,Y5Kyb,"Have a place in this country, even if others disagree with their residence here",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,FUJRe,"Hispanic or Latino, usually coming to the United States to seek a better life for their family",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,WcvIg,"I am a rule follower and would prefer if everyone just followed the law. However, I completely understand why people immigrate to the United States. I can only imagine how terrible it would be in your own country that you feel the need to come to a foreign country, perhaps not even knowing the language, leaving your family just so you can live a better life. That is hard and if someone feels that is their only option, who am I to judge them for coming over. I think the government should either fix the problem at the origin or find a faster easier way to get a visa/green card, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
T3,rjL0b,"I am aware of the stereotypes on illegal immigrants. Some people say they are uneducated, immoral, ""stupid"", and typically commit crimes. However, I think that is such a wrong way to think about them. Even though what they are doing is illegal, they should not be treated the way they are in the United States. Some of them are hard working and want what is best of their family. But Americans do wrong things as well.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
T5,LZpob,I believe everyone should have the ability to obtain US citizenship in as easier manner than is currently possible. I do not view illegal immigrants negatively; they are just trying to find a path for themselves.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T3,VjuG2,"I believe illegal immigrants should attempt to legalize themselves in our country, but I also think these individuals deserve to have a good life and success in the United States. I believe the U.S. should make it easier for immigrants to become citizens, as I believe many of these individuals are hard working and intelligent and can make the country better.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
T2,iXB5x,"I believe that a typical undocumented immigrant comes to the U.S. for better opportunities for themself and his/her family. Most of the time, they stay undocumented, and they find a place to work to provide for their family. They stay under the radar so they don't get deported.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,AQXit,I believe that illegal immigrants are hard-working individuals who care for their families. I believe that they have the same right to be here as anyone else who is in the country. I respect their drive and the sacrifices that they make for the hope of a better future.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,dfXVw,I believe that majority of undocumented immigrants are hardworking people who don't have the right resources to get a green card and or citizenship.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T5,wTtMC,I believe that many illegal immigrants come to the United States out of desperation and intend no harm to the American public or its institutions and rather are just trying to provide for themselves as they are leaving conditions in which this wasn't possible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T1,8IkN5,"I believe that most illegal immigrants come to this country in order to search for better work and a better life for their family, but some come here with intentions of violence or other unlawful activity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,kkTGR,I believe that nobody should come into the United States illegally however there should be equip quicker process to those who are willing to work to become successful. We are a nation of the free but there are some requirements to get in.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T6,HU9mM,I believe that they are hardworking individuals trying to make a name for themselves in our country. I think they deserve the right to an opportunity to earn money here just as much as anyone else in America.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,lBhwm,I believe that undocumented immigrants are just trying to make it in the United States as much as anyone else.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,eT0Wi,"I believe that undocumented immigrants are painted in a drastically bad way. I would say that the vast majority of them are here to find work and live a better life. Overall, illegal immigrants commit far less crime than those born here in the U.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,XctH5,"I believe that undocumented immigrants come to America for a better life. America has always been the safe haven for immigrants to experience the ""American Dream"", but somehow immigrants have become a negative concept. I also understand that it is a difficult process to become a U.S. citizen, so I don't hold anything against undocumented immigrants like many people do in this country. A majority of undocumented immigrants work and do not mean harm, they just want to escape some horrible things and hope that the U.S. can help them.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
T1,TzmcT,I believe the page before is misleading. I voted neutral on all the cases because an illegal immigrant can be all of those things but it has nothing to do with them being an immigrant.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T3,RPJXy,I believe the typical immigrant is extremely hardworking and caring. They take advantage of the opportunities offered and they provide a better life for their families.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,jI2yi,"I believe there is nothing wrong with immigrants. Immigrants become immigrants because they did not feel happy or safe in the place they once were. They leave to have better opportunities not only for themselves, but for their families as well, and everyone should be able to have opportunities for the better in their life.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T3,2XK7z,"I believe they are making a courageous choice and sacrifice, usually for their families.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T1,PL71w,"I believe they tend to be working class, but harder-working than many citizens. I think many fears about them are because of nativist fearmongering.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
T2,2xcQr,I believe undocumented immigrants are typically very hardworking and respectable people who are just looking for a better life in America,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,WnBt2,"I believe when I think of an illegal immigrant, I think of someone who moved to the US due to issues in their home country and looking for stable work.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T1,Cbh9n,"I bieleve the typical illegal immigrant is handworking, stressed, sometimes uneducated but seeking success",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,FIbgz,I can't really say much as I am not in their place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,mE2U3,"I do not believe undocumented immigrants should be in this country competing for jobs, healthcare and social services. However, I also sympathize with the plights that drove them here and the search for a better life while having to deal with a very restrictive immigration system. You could say I have mixed feelings on this matter.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
T2,pcOJt,"I do not harbor any negative feelings towards undocumented immigrants, rather I wish they would be able to go through the process of documentation easier and without the pain and struggle that could be the reason they've avoided it. I think that there is no ""typical"" undocumented immigrant, and while I'm sure there are rotten eggs, most people are good and should be treated with respect and kindness.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T4,uuoY7,"I do not have a view of “typical” undocumented immigrants. I’ve personally known many of them, and just like within any other group, there are various different types of people among them. There are nice people and there are jerks. The only consistent trait I’ve noticed is that they tend to be hard workers who keep their head down and try not to stand out or draw unneeded attention.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
T1,AOo4L,I do not have any opinions on illegal immigrants honestly. If they are coming here to work hard and prove for their families in hope of one day being a legal citizen then who am I to judge.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,4x00v,I do not have views on them. They are normal humans like the rest of us. Each one is an individual.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T5,NqmSy,"I do not support illegal immigrants and believe in the immigration process. Moreover, I think people with specialities in their fields should be emitted to the US over others.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,iUmec,"I do think it is unlawful, but it is not right to stereotype someone as lazy, evil, or violent, no matter what the instance is without actually knowing them.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T2,XMJgv,I don't hate undocumented immigrants. I don't like that some choose to come in an illegal manner. I wish more immigrants us the proper channels to work here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
