,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q31,Q32_1,Q32_2,Q34,Q35,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_DO,Q3.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.2_DO,Q3.2,Q4,Q5,Q5_3_TEXT,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q10,Q11,Q12,FL_35_DO
,11/17/20 18:25,11/17/20 18:42,100,1028,TRUE,11/17/20 18:42,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,2,3,3,1 (not well at all),2,3,2,2,2,2,Lazy|Intelligent|Uneducated|Immoral|Violent|Unlawful|Loyal|Honest|Hardworking|Responsible,It depends on their situation. I don't necessarily have a negative view towards them.,,,,,,,,,,,,,22,Female,,Asian,No,Democrat,,,Liberal,,Other,C1
,11/17/20 18:44,11/17/20 18:46,100,133,TRUE,11/17/20 18:46,anonymous,EN,,Yes,Yes,,11/17/20,,,,,,,,,,,,,3,4,,2,3,2,1 (not well at all),2,3,3,Lazy|Uneducated|Violent|Unlawful|Honest|Responsible|Hardworking|Intelligent|Immoral|Loyal,I have no issues with undocumented immigrants. I feel that all people have the right to leave their country of origin for a better life elsewhere. This being said I also believe that a country has a right to deny those looking to come in if they are a threat to the society. There is a fine line and it must be walked very carefully. ,20,Male,,Black or African American,No,Democrat,,,Slightly liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C2
,11/17/20 18:46,11/17/20 18:48,100,109,TRUE,11/17/20 18:48,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,3,5 (very well),2,1 (not well at all),4,1 (not well at all),1 (not well at all),1 (not well at all),5 (very well),5 (very well),Lazy|Violent|Loyal|Honest|Responsible|Intelligent|Immoral|Uneducated|Hardworking|Unlawful,"Coming from a family of illegal immigrants, I have a favorable view of them and know they work very hard just to have better opportunities.",,,,,,,,,,,,,21,Female,,Other,Yes,Democrat,,,Extremely liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C3
,11/17/20 18:36,11/17/20 18:59,100,1367,TRUE,11/17/20 18:59,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,3,3,4,3,3,3,3,1 (not well at all),3,2,Immoral|Loyal|Responsible|Intelligent|Uneducated|Hardworking|Violent|Unlawful|Lazy|Honest,I understand why they would come here illegally but I do not approve of the method. I still see them as human beings and do not treat them any differently,,,,,,,,,,,,,22,Male,,White,No,Republican,,,Conservative,,"My parents, grandparents and I were all born in the USA.",C5
,11/17/20 18:46,11/17/20 18:59,100,799,TRUE,11/17/20 18:59,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,2,3,3,2,3,3,1 (not well at all),2,2,2,Immoral|Uneducated|Intelligent|Loyal|Lazy|Unlawful|Responsible|Hardworking|Violent|Honest,Probably just someone looking for a better life on average.,21,Male,,White,No,Democrat,,,"Moderate, middle of the road",Moderate,"I was born in the USA, but at least one of my parents is an immigrant",C2
,11/17/20 19:09,11/17/20 19:12,100,131,TRUE,11/17/20 19:12,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,5 (very well),5 (very well),4,1 (not well at all),3,3,1 (not well at all),1 (not well at all),3,5 (very well),Unlawful|Hardworking|Lazy|Responsible|Honest|Violent|Immoral|Uneducated|Intelligent|Loyal,Hard workers who take jobs that no white American ever would,18,Female,,White,No,Independent,,Closer to Democratic Party,Slightly liberal,,Other,C4
,11/17/20 19:11,11/17/20 19:18,100,447,TRUE,11/17/20 19:18,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",10/17/20,3,4,2,2,3,2,1 (not well at all),3,3,4,Unlawful|Uneducated|Loyal|Honest|Immoral|Violent|Intelligent|Lazy|Hardworking|Responsible,"Although I havent had much experience with illegal immigrants nor do I know a lot about this topic, but the few individuals I do know, work extremely hard and do their part to support themselves and their family financially and end up doing jobs many Americans do not want to do.  They also work extremely hard to get their visas and try their hardest to become legal, but that sometimes get extremely costly and nerve-racking.",,,,,,,,,,,,,18,Female,,White,No,Democrat,,,Liberal,,"My parents, grandparents and I were all born in the USA.",C3
,11/17/20 19:25,11/17/20 19:31,100,402,TRUE,11/17/20 19:31,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,5 (very well),5 (very well),1 (not well at all),1 (not well at all),4,2,1 (not well at all),1 (not well at all),5 (very well),4,Hardworking|Responsible|Uneducated|Honest|Lazy|Loyal|Intelligent|Violent|Unlawful|Immoral,"I think that they are very hard working, loyal, and misunderstood. ",20,Female,,White,Yes,Democrat,,,Extremely liberal,,"My parents and I were born in the USA, but at least one of my grandparents was an immigrant.",C6
,11/17/20 20:06,11/17/20 20:08,100,119,TRUE,11/17/20 20:08,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,5 (very well),5 (very well),1 (not well at all),1 (not well at all),4,1 (not well at all),1 (not well at all),1 (not well at all),4,5 (very well),Intelligent|Lazy|Immoral|Unlawful|Violent|Loyal|Responsible|Uneducated|Hardworking|Honest,A person who just wants a better life and moves to a new country to pursue that. ,,,,,,,,,,,,,21,Female,,"White,Asian",No,Independent,,Closer to Democratic Party,Extremely liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C1
,11/17/20 20:19,11/17/20 20:22,100,164,TRUE,11/17/20 20:22,anonymous,EN,,Yes,Yes,,11/17/20,,,,,,,,,,,,,3,5 (very well),2,1 (not well at all),4,2,1 (not well at all),3,4,4,Uneducated|Unlawful|Intelligent|Violent|Immoral|Honest|Loyal|Responsible|Lazy|Hardworking,"A typical undocumented immigrant come to the Unitd States for a better life and for the money so they can provide food and shelter for their family. Therefore, the are hardworking and work all day all night trying to earn money even though they get paid a little bit.",19,Female,,Asian,No,Independent,,Closer to Republican Party,"Moderate, middle of the road",Moderate,"I was born in the USA, but at least one of my parents is an immigrant",C2
,11/17/20 20:38,11/17/20 20:41,100,195,TRUE,11/17/20 20:41,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,2,4,4,2,3,4,1 (not well at all),2,3,3,Immoral|Uneducated|Unlawful|Intelligent|Lazy|Responsible|Honest|Loyal|Hardworking|Violent,I believe that many illegal immigrants come to the United States out of desperation and intend no harm to the American public or its institutions and rather are just trying to provide for themselves as they are leaving conditions in which this wasn't possible,,,,,,,,,,,,,19,Male,,White,No,Independent,,Neither,"Moderate, middle of the road",Moderate,"My parents, grandparents and I were all born in the USA.",C5
,11/17/20 20:39,11/17/20 20:41,100,108,TRUE,11/17/20 20:41,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,5 (very well),,1 (not well at all),1 (not well at all),4,1 (not well at all),1 (not well at all),1 (not well at all),3,4,Lazy|Intelligent|Responsible|Hardworking|Violent|Immoral|Loyal|Uneducated|Unlawful|Honest,I think undocumented people come to America for a better life. So I am think we should welcome them all. ,22,Female,,Black or African American,No,Democrat,,,Liberal,,"My parents, grandparents and I were all born in the USA.",C6
,11/17/20 20:38,11/17/20 20:50,100,705,TRUE,11/17/20 20:50,anonymous,EN,,Yes,Yes,,11/17/20,,,,,,,,,,,,,5 (very well),5 (very well),1 (not well at all),1 (not well at all),5 (very well),1 (not well at all),1 (not well at all),1 (not well at all),5 (very well),5 (very well),Uneducated|Immoral|Intelligent|Honest|Hardworking|Lazy|Responsible|Violent|Unlawful|Loyal,"Undocumented immigrants often started out as legal residents. The process of becoming a citizen is long and arduous, many do not have the privilege and means to withstand the process. Undocumented immigrants are one legal document away from being a legal resident, it does not change who they are as people in any capacity.",19,Female,,Other,No,Independent,,Closer to Democratic Party,Liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C4
,11/17/20 20:49,11/17/20 20:54,100,271,TRUE,11/17/20 20:54,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,2,4,2,2,4,3,1 (not well at all),2,4,4,Hardworking|Responsible|Uneducated|Violent|Unlawful|Loyal|Immoral|Lazy|Honest|Intelligent,"A typical immigrant is hard working and is resilient. They want the best for themselves and their family. They would do anything to ensure the safety and well being of the people they love. Often they dont have a choice but to make it to the US or wherever their destination may be. And although it's a huge risk, its often one many of them are willing to take.",,,,,,,,,,,,,18,Male,,Black or African American,No,Democrat,,,Liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C1
,11/17/20 21:17,11/17/20 21:21,100,231,TRUE,11/17/20 21:21,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,4,5 (very well),3,1 (not well at all),4,2,1 (not well at all),1 (not well at all),5 (very well),3,Responsible|Unlawful|Violent|Intelligent|Uneducated|Immoral|Hardworking|Loyal|Lazy|Honest,"I think that they come to this country escaping poverty, corruption, or other things. If someone is willing to risk their life to leave their country it has to be for a reason. I think they are hardworking because they come and do jobs no one else will do for the bare minimum. I have very high views of working immigrants. ",,,,,,,,,,,,,24,Female,,Other,Yes,Democrat,,,Liberal,,"My parents and I were born in the USA, but at least one of my grandparents was an immigrant.",C3
,11/17/20 21:20,11/17/20 21:22,100,97,TRUE,11/17/20 21:22,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,3,5 (very well),1 (not well at all),1 (not well at all),1 (not well at all),1 (not well at all),1 (not well at all),1 (not well at all),3,3,Violent|Loyal|Uneducated|Unlawful|Immoral|Lazy|Intelligent|Honest|Responsible|Hardworking,The typical undocumented immigrant is fleeing violence or poverty and overstays their visa.,,,,,,,,,,,,,22,Female,,Other,Yes,Democrat,,,Extremely liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C5
,11/17/20 21:43,11/17/20 21:45,100,132,TRUE,11/17/20 21:45,anonymous,EN,,,,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,5 (very well),5 (very well),1 (not well at all),1 (not well at all),5 (very well),1 (not well at all),1 (not well at all),1 (not well at all),5 (very well),5 (very well),Unlawful|Violent|Uneducated|Responsible|Immoral|Lazy|Loyal|Honest|Hardworking|Intelligent,"First of all, it is much more respectful to refer to immigrants without documentation as undocumented immigrants rather than illegal immigrants. While the previous questions required the assumption of a large group of people as a whole, when thinking about immigrants,I think of them as normal citizens, and I believe that most citizens in the United States are good, hardworking people. ",,,,,,,,,,,,,19,Female,,White,No,Democrat,,,Extremely liberal,,"My parents and I were born in the USA, but at least one of my grandparents was an immigrant.",C1
,11/17/20 21:55,11/17/20 21:58,100,171,TRUE,11/17/20 21:58,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,4,5 (very well),1 (not well at all),1 (not well at all),3,1 (not well at all),1 (not well at all),1 (not well at all),5 (very well),3,Intelligent|Responsible|Hardworking|Lazy|Uneducated|Violent|Immoral|Unlawful|Honest|Loyal,"Illegal immigrants are people who desire to be in America for various reasons and are typically here to escape poverty, violence, or an undesirable situation. They are not bad people. They are people trying to make better lives for themselves and their families.",,,,,,,,,,,,,20,Female,,White,No,Democrat,,,Liberal,,"My parents, grandparents and I were all born in the USA.",C3
,11/17/20 21:55,11/17/20 21:59,100,248,TRUE,11/17/20 21:59,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,4,2,4,3,3,3,2,4,2,4,Honest|Uneducated|Immoral|Responsible|Lazy|Violent|Intelligent|Loyal|Hardworking|Unlawful,Undocumented immigrants must have had no other choice then to move to their new country. There are circumstances that have led to them being undocumented.,20,Female,,White,No,Independent,,Neither,Slightly liberal,,"My parents, grandparents and I were all born in the USA.",C2
,11/17/20 21:57,11/17/20 21:59,100,120,TRUE,11/17/20 21:59,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,3,5 (very well),2,1 (not well at all),4,1 (not well at all),1 (not well at all),1 (not well at all),4,5 (very well),Responsible|Hardworking|Violent|Unlawful|Honest|Lazy|Intelligent|Immoral|Loyal|Uneducated,"hardworking people that are simply trying to provide them and their families with better lives, they are trying to work towards a stable opportunity ",19,Female,,Asian,No,Democrat,,,Extremely liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C6
